time_s,PartID_A,PartID_B,PartID_D
0.0,-0.699037465017628,0.5351844402722484,0.19926760692124534
1.0,-0.43513768449956197,-0.05091805800440142,-0.44669003480869657
2.0,0.4316128719489609,-0.16318279949210573,0.5891912732968023
3.0,0.9125192291402172,0.8081864706293532,0.7661447348936122
4.0,0.23541880337989127,-0.0474746756298303,0.5362911597795197
5.0,-0.11415443089252957,-0.038012031904374986,0.42245153416140047
6.0,-0.13563576041858558,-0.391872893020463,0.46764181695370144
7.0,0.23514036275207137,-0.6926163302197612,-0.34213717577168373
8.0,-0.17985916692852738,-0.5421212860830783,-0.7045858052175603
9.0,0.4298616635807835,-0.6463397897705864,-0.4554212819330708
10.0,0.7540139263644741,0.8096882626616452,0.8238398246419285
11.0,-0.5416162285468511,-0.1850408067656182,0.9457596562398127
12.0,0.6001836681396531,0.6308996340503693,0.9304953259499881
13.0,-0.3198883636389984,-0.2558637312309343,-0.06471778676933714
14.0,-0.6438493244579199,-0.7089637995591954,-0.6503465907251601
15.0,-0.7085178798467224,-0.701287820505071,0.8829843163186105
16.0,0.9407232430037737,-0.6170406809445739,0.8073408808186961
17.0,0.905758892797352,-0.027997682686551142,0.8392633148561803
18.0,0.15308950321098955,0.7097192623057501,0.12630455640703303
19.0,0.5500170663345502,-0.03693712928658564,-0.04410062669729738
20.0,-0.8459335663081169,-0.5171028975996754,-0.8765471230987655
21.0,0.9075805046081965,0.5734918584709332,0.7024644488380006
22.0,-0.8423132406385239,0.7598591438447702,-0.7279112613950414
