time_s,PairID_A_B,PairID_A_D,PairID_B_D,GroupAverage
0.0,-0.7234731834460476,-0.8164872743899765,0.3415021941585491,-0.2188982700854046
1.0,-0.7069309664910518,-0.40596959973534885,0.14754847124343257,-0.306038878821105
2.0,-0.15006210680554932,0.5337679072635294,-0.030431259471466656,0.12687363027217832
3.0,0.9047921511837098,0.7216721724123145,0.5532955181896202,0.4163692505285093
4.0,-0.1046730988939104,0.42806680018321525,0.4670653719628829,0.1695143858033454
5.0,-0.0739686782019756,0.8373400963821818,-0.004153386054215745,0.26048744947673513
6.0,0.14675788578155036,-0.7412949383050826,0.20439115600326865,-0.098751731605493
7.0,0.1623070746155259,-0.6850503755061236,-0.569993308711445,-0.22618428616083483
8.0,-0.13464483890903028,-0.963613288880528,-0.6137054607841386,-0.3304364394320695
9.0,0.557030640857613,-0.6980753705022502,0.1740187104165698,-0.14894826467060665
10.0,0.6955999885286619,0.6761168897762759,0.7888234307092866,0.5970179467132518
11.0,-0.7948977404321139,0.6258197215815018,0.23183223930846752,-0.18665292584123572
12.0,0.02713666221640222,0.7565556792151354,0.7700999284686685,0.4140570069058083
13.0,-0.24295266084012687,0.17504560280101095,-0.3887412401961132,-0.1528869738223794
14.0,-0.9123896046137006,0.7899056715390406,-0.7243686718155864,-0.3585929058685589
15.0,-0.8084808906866824,0.5356773940117953,0.3414378789902024,-0.20499105739748902
16.0,-0.5876762692367175,0.9702639693643926,-0.626715322332529,-0.08014230911503677
17.0,0.7044517344700794,0.8874964410641779,-0.4631943923857719,0.32061423698853564
18.0,0.7207353566050926,0.11343968698986663,0.5389773057217706,0.28218661450283594
19.0,0.8488909918932805,0.07631952643748638,-0.17418101458284171,0.25595617840280155
20.0,-0.36847607504821583,-0.8258317969224938,-0.08606245277945414,-0.3402620093918758
21.0,0.40769276224686296,0.7979666589060532,0.5971009588375812,0.43384761743932426
22.0,-0.8125365906178281,-0.8125747547167675,0.8407306081935242,-0.2824476024664954
